@1,@2,@3,@4,@5,@6,@7
NOMBRE,PROVINCIA,LATITUD,LONGITUD,ALTURA,NRO,NroOACI
BASEBELGRANOII,ANTARTIDA,-77,52,-34,34,256
BASECARLINI(EXJUBANY),ANTARTIDA,-62,14,-58,38,11
BASEESPERANZA,ANTARTIDA,-63,24,-56,59,24
BASEMARAMBIO,ANTARTIDA,-64,14,-56,43,198
BASEORCADAS,ANTARTIDA,-60,45,-44,43,12
BASESANMARTIN,ANTARTIDA,-68,8,-67,8,7
AZULAERO,BUENOSAIRES,-36,50,-59,53,147
BAHIABLANCAAERO,BUENOSAIRES,-38,44,-62,10,83
BENITOJUAREZAERO,BUENOSAIRES,-37,43,-59,47,207
BOLIVARAERO,BUENOSAIRES,-36,12,-61,4,94
CAMPODEMAYOAERO,BUENOSAIRES,-34,32,-58,40,26
CORONELPRINGLESAERO,BUENOSAIRES,-38,1,-61,20,247
CORONELSUAREZAERO,BUENOSAIRES,-37,26,-61,53,233
DOLORESAERO,BUENOSAIRES,-36,21,-57,44,9
ELPALOMARAERO,BUENOSAIRES,-34,36,-58,36,12
EZEIZAAERO,BUENOSAIRES,-34,49,-58,32,20
JUNINAERO,BUENOSAIRES,-34,33,-60,55,81
LAPLATAAERO,BUENOSAIRES,-34,58,-57,54,23
LASFLORES,BUENOSAIRES,-36,2,-59,8,36
MARDELPLATAAERO,BUENOSAIRES,-37,56,-57,35,21
MARIANOMORENOAERO,BUENOSAIRES,-34,33,-58,49,32
MERLOAERO,BUENOSAIRES,-34,41,-58,44,36
MORONAERO,BUENOSAIRES,-34,40,-58,38,24
NUEVEDEJULIO,BUENOSAIRES,-35,27,-60,53,76
OLAVARRIAAERO,BUENOSAIRES,-36,53,-60,13,166
PEHUAJOAERO,BUENOSAIRES,-35,52,-61,54,87
PIGUEAERO,BUENOSAIRES,-37,36,-62,23,304
PUNTAINDIOB.A.,BUENOSAIRES,-35,22,-57,17,22
SANFERNANDOAERO,BUENOSAIRES,-34,27,-58,35,3
TANDILAERO,BUENOSAIRES,-37,14,-59,15,175
TRENQUELAUQUEN,BUENOSAIRES,-35,58,-62,44,95
TRESARROYOS,BUENOSAIRES,-38,20,-60,15,115
