Estacion,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
LA QUIACA OBSERVATORIO,65.3,64.1,62.4,48.2,34.6,31.1,30.1,31.7,34.4,45.3,52.3,59.2
ORAN AERO,   ,,83.6,85.3,83.8,82.3,75.4,67.3,59.1,62.5,69.6,74.7
TARTAGAL AERO,78.5,,,85,83.5,80.8,71.9,62,55.1,60.1,67.1,74.4
JUJUY AERO,74.4,77.7,82,82.4,79.7,76.7,68,58.7,52.3,56,62,68.8
SALTA AERO,78.2,81,83.7,82.9,80.5,75.5,69.1,62.8,58.2,61.2,67.1,73.1
LAS LOMITAS,69.3,72.2,75.2,79.4,79.9,79.3,71.3,62.8,60.5,62.7,65.9,68.2
IGUAZU AERO,78.1,80.4,79.7,83.7,86.5,88.1,83.6,78.5,76.4,77.3,74.9,75.7
TUCUMAN AERO,74.2,76.8,81,81.2,80.3,78.9,70.9,62.1,58.4,61.5,67.1,70.8
SANTIAGO DEL ESTERO AERO,66.8,70,74.2,76.6,74.5,73.2,63.6,54.3,50.9,54.8,59,62.7
RESISTENCIA AERO,70.8,74.5,77.4,81,81.7,82.5,77.3,72.5,70.6,71.8,72,70.8
FORMOSA AERO,71.2,74.3,75.9,79.5,80.2,80.8,76.5,71.6,70.2,71.8,71.4,70.8
CORRIENTES AERO,70.7,74.6,77.7,80.2,80,81.2,76.5,72.3,70.8,72.3,72.1,70.9
POSADAS AERO,68.5,72.1,73,76.4,77.4,78.8,74.7,70.3,69.8,69.8,66.9,65.8
TINOGASTA,56.9,58.3,60.8,61.6,63.2,60,55.4,47.7,47.3,46.5,48.6,51.6
LA RIOJA AERO,61.8,64.6,68.6,69.7,69.7,69.4,62.9,52.9,48.9,48.8,51.9,55.9
CATAMARCA AERO,56.2,59.8,63.8,65.3,66.3,66.1,58.6,47.7,43,44.7,48.5,52.5
VILLA DE MARIA DEL RIO SECO,74.7,79.7,81.8,82.1,79,76.7,71.8,66.3,64.7,67.5,70.4,72.5
CERES AERO,72,76.3,78.8,81.8,81.7,82.3,78.3,72.7,69.6,69.9,70.6,71.3
RECONQUISTA AERO,70.3,75.6,78,81.5,81.5,83.1,78.8,73.5,71.5,71.8,71,70.4
PASO DE LOS LIBRES AERO,67,72.5,74.4,78.1,80.4,82.3,79.6,75,73.8,72.2,68.7,65.7
SAN JUAN AERO,44.3,47.1,54.5,57.9,61.4,62.5,57.8,48.2,43.8,39.6,38.9,40.1
CHAMICAL AERO,60,63.3,67.4,68.6,68.7,67.4,60,50.3,46.5,47.3,50.5,54.8
VILLA DOLORES AERO,61.1,64.9,70.3,71.4,72.2,70.5,64.3,54.4,50.5,50.7,53,57.9
CORDOBA AERO,69.9,73.2,76,74.4,72.7,70.3,65.7,58.3,56.7,60,62.4,65.9
CORDOBA OBSERVATORIO,66.3,69.5,72.6,72.3,71.4,70.1,65.5,58,55.9,58,60.3,63.6
PILAR OBSERVATORIO,70.2,74.2,77.2,75.5,74.3,72.6,68,60.9,58.9,61.6,62.9,66.1
SAUCE VIEJO AERO,70.9,75.4,78.3,81.5,82.5,83.6,80.4,75.7,73,72.7,71.1,70.5
PARANA AERO,65.6,71.5,74.5,78.3,78.9,80.1,76.6,71.3,68.8,69.3,66.9,65.2
MONTE CASEROS AERO,66.9,72.9,74.7,79,80.4,81.9,78.9,74.5,73.1,71.9,69.1,65.8
CONCORDIA AERO,63.5,70.1,72.4,77.5,79.8,81,78,73.9,71.4,70.4,67.1,63.7
SAN MARTIN (MZA),55.5,59.2,66.4,69.8,70.6,69.9,65,56.7,54.7,51.3,51.1,51.5
MENDOZA AERO,49.8,53.6,61.8,65.6,68.3,69.4,64.4,55.1,51.3,45.7,44.5,45.8
MENDOZA OBSERVATORIO,53.5,58.1,64.7,66.1,67.8,68.8,64.8,57.3,54.9,50.7,50.5,51.3
SAN LUIS AERO,54.4,56.7,63.7,64.6,64.2,62.4,57.6,49.6,47,46.9,48.3,51.4
VILLA REYNOLDS AERO,68.2,70.7,76,76.5,76.4,75.9,72.2,65.7,63,62.9,63,65
RIO CUARTO AERO,67.8,70.2,74,72.9,72.2,70.9,66.8,60.2,58.6,60.8,61.2,63.8
MARCOS JUAREZ AERO,73.8,78.7,80,80,80.4,81.2,78.2,73.7,70.8,70,68,70.2
ROSARIO AERO,68.2,73.7,77.2,80,81.1,82.2,79.6,74.7,70.6,70.4,67.9,67.2
GUALEGUAYCHU AERO,65.1,71.6,74.3,78.8,80.7,82.5,80.3,75.9,72.9,71.9,68.9,65.4
MALARGUE AERO,46,51.6,58.2,62,64.2,66.3,64.2,59,53.5,45.8,42.8,43.1
SAN RAFAEL AERO,53.6,56.8,63.6,66.9,68,66.1,63.4,57.2,55.8,51.9,50.2,50.7
GENERAL PICO AERO,64.7,67.4,72.2,73.8,76.5,78.2,75.1,67.2,65.2,65.1,60.1,59.7
LABOULAYE AERO,70.3,72.9,77.1,77.6,78.1,78.3,74.7,68.8,66.7,68.2,66.5,66.7
