Estacion,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
LA QUIACA OBSERVATORIO,12.8,12.5,12.4,10.9,6.9,4.4,4.1,6.7,9.3,11.7,12.8,13.2
ORAN AERO,,25.1,23.9,20.9,17.7,15,14.7,17.2,20.1,23.8,25,26
TARTAGAL AERO,25.2,24.4,,20.2,17.2,14.9,14.6,17.4,20.2,23.9,24.6,25.3
JUJUY AERO,23.6,22.5,21.4,18.3,14.8,12.2,11.9,15,17.8,21.7,23,23.8
SALTA AERO,21.4,20.3,19.5,16.6,13.1,10.6,10.1,12.7,15.1,19.1,20.5,21.5
LAS LOMITAS,27.9,26.8,25.8,22.5,18.8,16.9,16.6,19.1,21.2,24.6,25.9,27.3
IGUAZU AERO,25.6,24.9,24.2,21.4,17.6,15.9,15.7,17.6,19.1,21.9,23.5,25
TUCUMAN AERO,25.2,24,22.6,19.2,15.7,12.7,12.2,14.9,17.8,21.8,23.4,24.9
SANTIAGO DEL ESTERO AERO,26.7,25.5,23.8,19.8,16.1,12.7,12.2,15.3,18.5,22.7,24.8,26.5
RESISTENCIA AERO,26.8,25.9,24.6,21.2,17.6,15.4,14.8,16.7,18.5,21.8,23.6,25.8
FORMOSA AERO,27.6,26.8,25.7,22.5,18.9,17,16.3,18.1,19.8,23,24.7,26.7
CORRIENTES AERO,27,26,24.7,21.4,18,15.9,15.2,17,18.5,21.8,23.7,25.8
POSADAS AERO,27,26.2,25.1,21.9,18.3,16.5,16.1,17.9,19.2,22.3,24.2,26.3
TINOGASTA,25.6,24.4,22.9,18.3,13.5,10.3,10,13.2,16.2,21.3,23.9,25.9
LA RIOJA AERO,27.2,25.8,23.9,19.7,15.1,11.4,10.8,14.2,17.9,22.9,25.5,27.4
CATAMARCA AERO,27.3,26,24.4,20.4,16,12,11.6,15.4,19.1,23.6,25.6,27.3
VILLA DE MARIA DEL RIO SECO,24,22.4,21,17.3,14,11.2,10.5,12.9,15.3,19.2,21.4,23.4
CERES AERO,25.3,24.1,22.6,18.8,15.2,12.3,11.5,13.7,16,19.8,22.2,24.3
RECONQUISTA AERO,26.4,25.2,23.7,20,16.7,14.1,13.4,15.4,17.1,20.6,22.9,25
PASO DE LOS LIBRES AERO,26.2,25,23.6,19.9,16.3,13.9,13.4,15.3,16.7,20.1,22.5,25
SAN JUAN AERO,27.1,25.5,22.8,17.2,12.2,8.3,7.7,10.6,14.4,19.8,23.4,26.3
CHAMICAL AERO,26.5,25.1,23.2,19.1,15.2,11.9,11.3,14.4,17.7,22.2,24.6,26.4
VILLA DOLORES AERO,25.1,23.7,21.8,17.7,13.8,10.7,10.1,12.9,15.8,20.3,22.8,24.6
CORDOBA AERO,23.4,22.2,20.7,17.2,13.7,10.7,10,12.5,14.9,18.6,20.9,22.9
CORDOBA OBSERVATORIO,24.3,23.1,21.7,18,14.5,11.4,10.8,13.3,15.7,19.5,21.8,23.7
PILAR OBSERVATORIO,23.4,22.1,20.6,17,13.6,10.5,9.7,11.9,14.3,18.3,20.8,22.9
SAUCE VIEJO AERO,25.8,24.4,22.8,18.7,15.4,12.2,11.5,13.7,15.9,19.5,22.1,24.4
PARANA AERO,25.1,23.6,22,18,14.8,12,11.3,13.2,15.1,18.5,21.3,23.6
MONTE CASEROS AERO,26.3,25,23.5,19.6,16.1,13.7,13.1,15,16.6,20,22.5,25
CONCORDIA AERO,25.8,24.4,22.8,18.8,15.3,12.7,12.2,14.1,15.7,19.1,21.7,24.2
SAN MARTIN (MZA),24.6,23.2,20.5,15.6,11.3,8,7.5,10.2,13.3,18,21.3,23.9
MENDOZA AERO,25.5,24,21.3,16.2,11.8,8.4,7.9,10.6,13.9,18.8,22.2,24.9
MENDOZA OBSERVATORIO,23.9,22.5,20,15.3,11.2,8.1,7.5,10,13,17.5,20.6,23.2
SAN LUIS AERO,24.4,23.2,20.8,16.6,12.9,10,9.4,11.9,14.7,18.9,21.6,23.8
VILLA REYNOLDS AERO,22.9,21.7,19.5,15.1,11.2,7.9,7.1,9.6,12.7,16.9,19.8,22.2
RIO CUARTO AERO,22.9,21.8,20.1,16.3,12.7,9.7,8.9,11,13.6,17.4,20.1,22.2
MARCOS JUAREZ AERO,23.8,22.2,20.7,16.9,13.3,10.2,9.3,11.4,13.9,17.9,20.9,23
ROSARIO AERO,24.6,23.2,21.4,17.3,13.8,10.7,10,12.1,14.5,18.1,21,23.4
GUALEGUAYCHU AERO,25.1,23.7,22,17.8,14.2,11.3,10.7,12.8,14.7,18,20.9,23.4
MALARGUE AERO,20,18.7,16.2,11.3,7.1,4.6,3.6,5.5,8.2,12.6,16,19
SAN RAFAEL AERO,23.3,22,19.3,14.5,10.5,7.7,6.9,9,11.8,16.3,19.6,22.4
GENERAL PICO AERO,23.8,22.5,20.2,16,12,8.8,8.1,10.4,13.1,16.7,20,22.8
LABOULAYE AERO,23.1,21.9,19.9,15.8,12.2,8.9,8.1,10.2,12.8,16.6,19.6,22.2
PEHUAJO AERO,22.5,21.3,19.2,15.3,11.8,8.6,8,9.9,12.3,15.6,18.6,21.4
JUNIN AERO,23,21.7,19.7,15.8,12.4,9.3,8.6,10.7,12.9,16.3,19.4,22
NUEVE DE JULIO,23.5,22.1,19.8,15.8,12.2,9.2,8.7,10.7,13.1,16.2,19.5,22.2
SAN MIGUEL,24.2,22.7,20.9,16.9,13.4,10.6,10.2,12,14,17.1,20,22.5
EL PALOMAR AERO,24.1,22.9,20.9,16.7,13.1,10.2,9.6,11.6,13.6,16.8,19.7,22.4
EZEIZA AERO,23.9,22.7,20.8,16.7,13.2,10.3,9.6,11.5,13.4,16.7,19.6,22.3
AEROPARQUE AERO,24.5,23.5,22,18.2,15,12,11.2,12.7,14.4,17.7,20.3,22.9
BUENOS AIRES OBSERVATORIO,24.9,23.6,21.9,17.9,14.6,11.6,11,12.8,14.6,17.9,20.6,23.3
LA PLATA AERO,22.8,21.8,20,16.2,12.7,9.9,8.9,10.7,12.5,15.7,18.4,21.1
PUNTA INDIO B.A.,22.8,22,20.4,16.5,12.9,10,9,10.7,12.5,15.7,18.5,21.2
SANTA ROSA AERO,23.6,22.1,19.5,14.9,11,7.9,7.2,9.5,12.1,15.9,19.4,22.5
CORONEL SUAREZ AERO,21,19.8,17.5,13.3,9.5,6.6,5.9,7.9,10.3,13.5,16.6,20
TANDIL AERO,20.8,19.7,17.6,13.5,10,7.2,6.3,8.1,10.1,13.5,16.4,19.3
DOLORES AERO,21.8,20.8,19,15.1,11.6,8.7,7.8,9.8,11.7,14.9,17.6,20.3
PIGUE AERO,21.1,20,17.6,13.4,9.7,6.8,6.1,8.2,10.2,13.5,16.7,20.1
TRES ARROYOS,21.5,20.4,18.1,14.1,10.6,7.8,7.1,8.8,10.6,13.8,16.9,20
MAR DEL PLATA AERO,20.4,19.8,18.2,14.5,11.2,8.4,7.5,8.8,10.4,13.3,15.9,18.5
NEUQUEN AERO,23.7,22.3,18.9,13.4,9.2,6.6,5.8,8.1,11.4,15.6,19.4,22.4
BAHIA BLANCA AERO,23.6,22.1,19.4,14.9,11.1,8.1,7.5,9.4,11.6,15.1,18.7,22
BARILOCHE AERO,15,14.8,11.9,7.9,4.9,2.9,2.1,3,5.1,8,10.8,13.5
MAQUINCHAO,18,17.5,14.1,8.9,4.4,1.4,0.5,2.7,5.7,9.8,13.5,16.6
VIEDMA AERO,22.1,20.8,18.3,13.8,9.9,7.2,6.6,8.2,10.5,14.3,17.7,20.6
ESQUEL AERO,15.1,15,12.3,8.2,4.9,2.4,1.5,3.2,5.5,8.4,11.2,13.6
TRELEW AERO,21.5,20.3,17.6,13.3,9.2,6.2,5.8,7.7,10.4,14.1,17.4,20
COMODORO RIVADAVIA AERO,19.7,18.8,16.3,13.1,9.6,6.9,6.6,7.9,10.1,13,15.9,18.2
SAN JULIAN AERO,16.3,15.6,13.2,9.8,6.2,3.4,3.2,4.8,7.4,10.4,13.2,15.1
RIO GALLEGOS AERO,13.8,13.2,10.8,7.6,4.2,1.4,1.2,3.1,5.7,8.4,11.1,12.8
RIO GRANDE B.A.,10.9,10.3,8.1,5.5,2.6,-0.1,-0.2,1.4,3.5,6.2,8.4,10
