FECHA,TMAX,TMIN,NOMBRE
30042021,22.1,14.8,AEROPARQUE AERO
30042021,21.8,9.6,AZUL AERO
30042021,25.4,13.2,BAHIA BLANCA AERO
30042021,15.4,9,BARILOCHE AERO
30042021,-8,-14.5,BASE BELGRANO II
30042021,-1.4,-10,BASE CARLINI (EX JUBANY)
30042021,-8,-17.1,BASE ESPERANZA
30042021,-15.3,-21.6,BASE MARAMBIO
30042021,1.2,-10,BASE ORCADAS
30042021,-2.2,-12.6,BASE SAN MARTIN
30042021,21.3,10.8,BENITO JUAREZ AERO
30042021,23.7,12.5,BERNARDO DE IRIGOYEN AERO
30042021,23.6,9.7,BOLIVAR AERO
30042021,23.9,14.6,BUENOS AIRES OBSERVATORIO
30042021,23.4,7.2,CAMPO DE MAYO AERO
30042021,27,13.3,CATAMARCA AERO
30042021,24.4,6.8,CERES AERO
30042021,26,10.5,CHAMICAL AERO
30042021,15.2,6.5,CHAPELCO AERO
30042021,25,13,CHEPES
30042021,25.5,7,CHILECITO AERO
30042021,19.6,9.2,CIPOLLETTI
30042021,21.5,16,COMODORO RIVADAVIA AERO
30042021,24.9,10,CONCORDIA AERO
30042021,25.9,10.3,CORDOBA AERO
30042021,26,10.8,CORDOBA OBSERVATORIO
30042021,21.4,7.2,CORONEL PRINGLES AERO
30042021,21.3,5.5,CORONEL SUAREZ AERO
30042021,27.2,9.7,CORRIENTES AERO
30042021,22.7,8.4,DOLORES AERO
30042021,12.5,3.1,EL BOLSON AERO
30042021,11.9,1,EL CALAFATE AERO
30042021,23.5,7.5,EL PALOMAR AERO
30042021,23.7,8,EL TREBOL
30042021,25.5,8.1,ESCUELA DE AVIACION MILITAR AERO
30042021,13.2,2.8,ESQUEL AERO
30042021,23.9,11.1,EZEIZA AERO
30042021,28.7,10.4,FORMOSA AERO
30042021,24.2,10.6,GENERAL PICO AERO
30042021,16.5,8,GOBERNADOR GREGORES AERO
30042021,24.4,9.9,GUALEGUAYCHU AERO
30042021,27.4,12,IGUAZU AERO
30042021,27.5,10,ITUZAINGO
30042021,28.5,5.6,JACHAL
30042021,21.9,8.1,JUJUY AERO
30042021,20.5,7.9,JUJUY U N
30042021,23.8,5.9,JUNIN AERO
30042021,22.4,12,LA PLATA AERO
30042021,18.6,-3.6,LA QUIACA OBSERVATORIO
30042021,26,12.3,LA RIOJA AERO
30042021,24.2,8.1,LABOULAYE AERO
30042021,22.5,10,LAS FLORES
30042021,29,9.6,LAS LOMITAS
30042021,16.2,5.1,MALARGUE AERO
30042021,16.2,8.5,MAQUINCHAO
30042021,21.6,8.6,MAR DEL PLATA AERO
30042021,24.1,6.4,MARCOS JUAREZ AERO
30042021,23.5,10,MARIANO MORENO AERO
30042021,23.8,10.2,MENDOZA AERO
30042021,,8.8,MENDOZA OBSERVATORIO
30042021,26.8,11.5,MERCEDES AERO (CTES)
30042021,23.2,10.5,MERLO AERO
30042021,24.4,9,METAN
30042021,26.6,10.7,MONTE CASEROS AERO
30042021,23.2,12.2,MORON AERO
30042021,19.3,7.7,NEUQUEN AERO
30042021,24,7.2,NUEVE DE JULIO
30042021,28.5,11,OBERA
30042021,21.4,5.2,OLAVARRIA AERO
30042021,25.6,13.6,ORAN AERO
30042021,23.8,8.6,PARANA AERO
30042021,17,5.9,PASO DE INDIOS
30042021,27.7,12.8,PASO DE LOS LIBRES AERO
30042021,23.2,7.7,PEHUAJO AERO
30042021,17.6,8.6,PERITO MORENO AERO
30042021,20.6,7.7,PIGUE AERO
30042021,24.4,9.4,PILAR OBSERVATORIO
30042021,28,13.1,POSADAS AERO
30042021,27.3,4.5,PRESIDENCIA ROQUE SAENZ PEÑA AERO
30042021,18.2,10.8,PUERTO DESEADO AERO
30042021,24,8.4,PUERTO MADRYN AERO
30042021,22.3,11,PUNTA INDIO B.A.
30042021,25.1,9,RAFAELA AERO
30042021,26.5,9.4,RECONQUISTA AERO
30042021,27.7,7.9,RESISTENCIA AERO
30042021,24.6,12.8,RIO COLORADO
30042021,24.7,11.2,RIO CUARTO AERO
30042021,9.9,0.4,RIO GALLEGOS AERO
30042021,5.5,1.6,RIO GRANDE B.A.
30042021,29,12,RIVADAVIA
30042021,23.1,7.9,ROSARIO AERO
30042021,20.4,5.3,SALTA AERO
30042021,24.4,9.8,SAN ANTONIO OESTE AERO
30042021,21,5.5,SAN CARLOS (MZA)
30042021,23.4,11.5,SAN FERNANDO AERO
30042021,26.4,8,SAN JUAN AERO
30042021,20,11.1,SAN JULIAN AERO
30042021,24,10.6,SAN LUIS AERO
30042021,24.3,8.8,SAN MARTIN (MZA)
30042021,22.5,7.1,SAN RAFAEL AERO
30042021,17.8,6.4,SANTA CRUZ AERO
30042021,23.4,8.4,SANTA ROSA AERO
30042021,24.1,1.5,SANTA ROSA DE CONLARA AERO
30042021,27.5,8.9,SANTIAGO DEL ESTERO AERO
30042021,24.8,7.5,SAUCE VIEJO AERO
30042021,25,6.8,SUNCHALES AERO
30042021,20.8,2.4,TANDIL AERO
30042021,26.5,11.5,TARTAGAL AERO
30042021,27,9,TERMAS DE RIO HONDO AERO
30042021,28.5,7.5,TINOGASTA
30042021,22.5,8.4,TRELEW AERO
30042021,,7.9,TRENQUE LAUQUEN
30042021,23,11.9,TRES ARROYOS
30042021,26.1,10.6,TUCUMAN AERO
30042021,5.5,3,USHUAIA AERO
30042021,23.5,0.9,USPALLATA
30042021,24,7,VENADO TUERTO AERO
30042021,24.3,9.3,VICTORICA
30042021,26.9,13,VIEDMA AERO
30042021,25.5,4.5,VILLA DE MARIA DEL RIO SECO
30042021,25.5,9.4,VILLA DOLORES AERO
30042021,22,11.7,VILLA GESELL AERO
30042021,26.9,3.9,VILLA REYNOLDS AERO
29042021,22,12.8,AEROPARQUE AERO
29042021,23,8.5,AZUL AERO
29042021,26.8,11.7,BAHIA BLANCA AERO
29042021,16.9,1.4,BARILOCHE AERO
29042021,-13.4,-19.5,BASE BELGRANO II
29042021,-0.2,-8.6,BASE CARLINI (EX JUBANY)
29042021,-7.5,-15,BASE ESPERANZA
29042021,-16.4,-21.6,BASE MARAMBIO
29042021,-1,-4.5,BASE ORCADAS
29042021,-1,-12.9,BASE SAN MARTIN
29042021,22.5,13.1,BENITO JUAREZ AERO
29042021,23.6,8.8,BERNARDO DE IRIGOYEN AERO
29042021,24.5,7,BOLIVAR AERO
29042021,24.4,12.2,BUENOS AIRES OBSERVATORIO
29042021,23.8,9,CAMPO DE MAYO AERO
29042021,28.5,16.3,CATAMARCA AERO
29042021,23.6,9.4,CERES AERO
29042021,26,11.9,CHAMICAL AERO
29042021,20.2,-1,CHAPELCO AERO
29042021,26,12,CHEPES
29042021,26.7,9.2,CHILECITO AERO
29042021,25.1,8.7,CIPOLLETTI
29042021,20.6,10.4,COMODORO RIVADAVIA AERO
29042021,22,8,CONCORDIA AERO
29042021,26.8,6.2,CORDOBA AERO
29042021,26,9.8,CORDOBA OBSERVATORIO
29042021,23.4,8.5,CORONEL PRINGLES AERO
29042021,23.3,8.3,CORONEL SUAREZ AERO
29042021,23.6,9.7,CORRIENTES AERO
29042021,24.7,8.6,DOLORES AERO
29042021,17.6,4.6,EL BOLSON AERO
29042021,8.1,4,EL CALAFATE AERO
29042021,23.8,6.7,EL PALOMAR AERO
29042021,24,11,EL TREBOL
29042021,25,5.9,ESCUELA DE AVIACION MILITAR AERO
29042021,17.7,6.5,ESQUEL AERO
29042021,24.8,9,EZEIZA AERO
29042021,25,10.2,FORMOSA AERO
29042021,26.5,11,GENERAL PICO AERO
29042021,12.5,4.5,GOBERNADOR GREGORES AERO
29042021,23.9,8.4,GUALEGUAYCHU AERO
29042021,27.8,8,IGUAZU AERO
29042021,26.5,7.9,ITUZAINGO
29042021,27.5,5.8,JACHAL
29042021,23.6,8.6,JUJUY AERO
29042021,21.9,7.1,JUJUY U N
29042021,25,8.2,JUNIN AERO
29042021,23.1,11.4,LA PLATA AERO
29042021,16.1,-3.2,LA QUIACA OBSERVATORIO
29042021,27.4,13.7,LA RIOJA AERO
29042021,25.8,8.6,LABOULAYE AERO
29042021,23.5,10.8,LAS FLORES
29042021,25.2,10.1,LAS LOMITAS
29042021,21.4,4.3,MALARGUE AERO
29042021,21,-0.2,MAQUINCHAO
29042021,24.8,9.2,MAR DEL PLATA AERO
29042021,24.8,6.8,MARCOS JUAREZ AERO
29042021,23.5,8,MARIANO MORENO AERO
29042021,26.1,9.9,MENDOZA AERO
29042021,,9.6,MENDOZA OBSERVATORIO
29042021,22.8,9,MERCEDES AERO (CTES)
29042021,24,10,MERLO AERO
29042021,24.2,10,METAN
29042021,23.6,8.5,MONTE CASEROS AERO
29042021,23.6,11,MORON AERO
29042021,24.6,7,NEUQUEN AERO
29042021,25.4,9.2,NUEVE DE JULIO
29042021,25.5,10,OBERA
29042021,23.3,8.1,OLAVARRIA AERO
29042021,25.8,12,ORAN AERO
29042021,23,9,PARANA AERO
29042021,19.9,6.4,PASO DE INDIOS
29042021,24.8,8.6,PASO DE LOS LIBRES AERO
29042021,24.5,9,PEHUAJO AERO
29042021,18.4,6.5,PERITO MORENO AERO
29042021,22.9,8.7,PIGUE AERO
29042021,24.5,9,PILAR OBSERVATORIO
29042021,26.4,11.5,POSADAS AERO
29042021,23.5,6.5,PRESIDENCIA ROQUE SAENZ PEÑA AERO
29042021,14.9,7.8,PUERTO DESEADO AERO
29042021,24.2,11.5,PUERTO MADRYN AERO
29042021,24.5,10.5,PUNTA INDIO B.A.
29042021,24.9,9.2,RAFAELA AERO
29042021,23.3,9.5,RECONQUISTA AERO
29042021,24.5,7.9,RESISTENCIA AERO
29042021,27,13.2,RIO COLORADO
29042021,25.8,10.4,RIO CUARTO AERO
29042021,8.5,1.2,RIO GALLEGOS AERO
29042021,6.6,-0.4,RIO GRANDE B.A.
29042021,29,13,RIVADAVIA
29042021,23.9,6.4,ROSARIO AERO
29042021,21.6,5.9,SALTA AERO
